dataset,buy_probability_threshold,predicted_max_return_threshold,buy_count,buy_rate,hit_rate,average_return_after_costs,total_return_after_costs,max_drawdown
validation,0.62,0.0015,11283,0.3579631979695431,0.6375077550296907,-0.0023702509836303603,-26.743541848301355,-0.9999999999980309
validation,0.62,0.002,11282,0.3579314720812183,0.6375642616557348,-0.002369134732210861,-26.728578048802937,-0.999999999998001
validation,0.62,0.0025,11013,0.3493972081218274,0.6376100971579043,-0.0023817699825089463,-26.230432817371025,-0.9999999999967036
validation,0.62,0.003,8681,0.27541243654822334,0.6688169565718235,-0.002370452439840824,-20.577897630258192,-0.9999999990359862
validation,0.65,0.001,9495,0.30123730964467005,0.6590837282780411,-0.002365393523263686,-22.4594115033887,-0.9999999998545291
validation,0.65,0.0015,9495,0.30123730964467005,0.6590837282780411,-0.002365393523263686,-22.4594115033887,-0.9999999998545291
validation,0.65,0.002,9495,0.30123730964467005,0.6590837282780411,-0.002365393523263686,-22.4594115033887,-0.9999999998545291
validation,0.65,0.0025,9438,0.2994289340101523,0.6588260224623861,-0.002371356817427959,-22.380865642885077,-0.9999999998425979
validation,0.65,0.003,8369,0.2655139593908629,0.6727207551678814,-0.002366569352718466,-19.805818912900843,-0.9999999979060412
validation,0.7,0.001,6621,0.21005710659898477,0.6935508231384987,-0.002412172540575278,-15.970994391148915,-0.9999998980783057
validation,0.7,0.0015,6621,0.21005710659898477,0.6935508231384987,-0.002412172540575278,-15.970994391148915,-0.9999998980783057
validation,0.7,0.002,6621,0.21005710659898477,0.6935508231384987,-0.002412172540575278,-15.970994391148915,-0.9999998980783057
validation,0.7,0.0025,6618,0.20996192893401014,0.6937141130250831,-0.0024122275299179458,-15.964121792996966,-0.9999998973738001
validation,0.7,0.003,6524,0.20697969543147207,0.6945125689760883,-0.002412324501232309,-15.738005046039584,-0.9999998711794471
test_final_evaluation_only,0.5,0.001,14746,0.467815107388725,0.4910484199104842,-0.0024030824522021277,-35.43585384017258,-0.9999999999999997
test_final_evaluation_only,0.5,0.0015,14746,0.467815107388725,0.4910484199104842,-0.0024030824522021277,-35.43585384017258,-0.9999999999999997
test_final_evaluation_only,0.5,0.002,14005,0.4443069699565369,0.4978936094252053,-0.002391987394519041,-33.49978346023917,-0.9999999999999976
test_final_evaluation_only,0.5,0.0025,8581,0.27223121093873925,0.558792681505652,-0.0023545122661366227,-20.20406975571836,-0.9999999984793315
test_final_evaluation_only,0.5,0.003,5114,0.16224104565210495,0.6145874071177161,-0.002324974941485249,-11.889921850755565,-0.9999935944578761
test_final_evaluation_only,0.55,0.001,11504,0.3649630405126741,0.5250347705146036,-0.002371694080320173,-27.28396870000327,-0.9999999999987537
